npz_dir,npz_filename,event_type,datetime,minX,minY,maxX,maxY,lat_min,lat_max,lon_min,lon_max,date,hrx_path,stem,prithvi_path,has_hrx,has_prithvi,split
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062217_Hail+Thunderstorm_Wind_1277_252_1381_334.npz,Hail+Thunderstorm_Wind,2020-06-22T17:00:00,1277,252,1381,334,30.00330352783203,32.55093765258789,274.23602294921875,277.798828125,2020-06-22 17:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020062217_Hail+Thunderstorm_Wind_1277_252_1381_334.npz,2020062217_Hail+Thunderstorm_Wind_1277_252_1381_334,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020062217_Hail+Thunderstorm_Wind_1277_252_1381_334_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062018_Hail_808_552_862_606.npz,Hail,2020-06-20T18:00:00,808,552,862,606,39.07539749145508,40.53961563110352,259.266357421875,261.1727600097656,2020-06-20 18:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020062018_Hail_808_552_862_606.npz,2020062018_Hail_808_552_862_606,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020062018_Hail_808_552_862_606_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060315_Hail_744_557_800_612.npz,Hail,2020-06-03T15:00:00,744,557,800,612,39.12980270385742,40.656700134277344,256.9880676269531,259.011962890625,2020-06-03 15:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020060315_Hail_744_557_800_612.npz,2020060315_Hail_744_557_800_612,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020060315_Hail_744_557_800_612_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020061919_Thunderstorm_Wind_767_542_809_584.npz,Thunderstorm_Wind,2020-06-19T19:00:00,767,542,809,584,38.75933074951172,39.91110229492188,257.85369873046875,259.3429870605469,2020-06-19 19:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020061919_Thunderstorm_Wind_767_542_809_584.npz,2020061919_Thunderstorm_Wind_767_542_809_584,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020061919_Thunderstorm_Wind_767_542_809_584_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062313_Hail_726_518_783_570.npz,Hail,2020-06-23T13:00:00,726,518,783,570,38.04975509643555,39.505958557128906,256.4483947753906,258.47998046875,2020-06-23 13:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020062313_Hail_726_518_783_570.npz,2020062313_Hail_726_518_783_570,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020062313_Hail_726_518_783_570_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062618_Hail_743_561_788_606.npz,Hail,2020-06-26T18:00:00,743,561,788,606,39.23593521118164,40.48182678222656,256.9654235839844,258.58868408203125,2020-06-26 18:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020062618_Hail_743_561_788_606.npz,2020062618_Hail_743_561_788_606,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020062618_Hail_743_561_788_606_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020060617_Thunderstorm_Wind_729_540_784_613.npz,Thunderstorm_Wind,2020-06-06T17:00:00,729,540,784,613,38.64725112915039,40.665618896484375,256.4543762207031,258.4813232421875,2020-06-06 17:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020060617_Thunderstorm_Wind_729_540_784_613.npz,2020060617_Thunderstorm_Wind_729_540_784_613,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020060617_Thunderstorm_Wind_729_540_784_613_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062719_Hail+Thunderstorm_Wind_747_534_827_609.npz,Hail+Thunderstorm_Wind,2020-06-27T19:00:00,747,534,827,609,38.51502227783203,40.600215911865234,257.1006164550781,259.9735107421875,2020-06-27 19:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020062719_Hail+Thunderstorm_Wind_747_534_827_609.npz,2020062719_Hail+Thunderstorm_Wind_747_534_827_609,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020062719_Hail+Thunderstorm_Wind_747_534_827_609_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062620_Thunderstorm_Wind_757_525_858_586.npz,Thunderstorm_Wind,2020-06-26T20:00:00,757,525,858,586,38.28743743896485,39.99870300292969,257.4990234375,261.04852294921875,2020-06-26 20:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020062620_Thunderstorm_Wind_757_525_858_586.npz,2020062620_Thunderstorm_Wind_757_525_858_586,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020062620_Thunderstorm_Wind_757_525_858_586_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020062716_Flash_Flood+Thunderstorm_Wind_739_522_788_597.npz,Flash_Flood+Thunderstorm_Wind,2020-06-27T16:00:00,739,522,788,597,38.179237365722656,40.23937225341797,256.8435974121094,258.64556884765625,2020-06-27 16:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020062716_Flash_Flood+Thunderstorm_Wind_739_522_788_597.npz,2020062716_Flash_Flood+Thunderstorm_Wind_739_522_788_597,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020062716_Flash_Flood+Thunderstorm_Wind_739_522_788_597_prithvi.npz,True,True,val
/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630,2020061417_Thunderstorm_Wind_754_525_804_584.npz,Thunderstorm_Wind,2020-06-14T17:00:00,754,525,804,584,38.2830924987793,39.90627670288086,257.3975830078125,259.191162109375,2020-06-14 17:00:00,/mnt/hum01-home01/ambs/j22132gk/scratch/hr_extreme_data/20200101_20200630/2020061417_Thunderstorm_Wind_754_525_804_584.npz,2020061417_Thunderstorm_Wind_754_525_804_584,/mnt/hum01-home01/ambs/j22132gk/scratch/prithvi_features/train/2020061417_Thunderstorm_Wind_754_525_804_584_prithvi.npz,True,True,val
